Question;Option A;Option B;Option C;Option D;Answer;Section;"Question;Option A;Option B;Option C;Option D;Answer"
There are two examination rooms A and B. If 10 students are sent from A to B, then the number of students in each room is the same. If 20 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;20;80;100;200;C;Math;
The price of commodity X increases by 40 paise every year, while the price of commodity Y increases by 15 paise every year. If in 2001, the price of commodity X was Rs. 4.20 and that of Y was Rs. 6.30, in which year will commodity X cost 40 paise more than commodity Y?;2010;2011;2012;2013;B;Math;
If a - b = 3 and a² + b² = 29, find the value of ab.;10;12;15;18;A;Math;
The salaries A, B, and C are in the ratio 2:3:5. If increments of 15%, 10%, and 20% are allowed in their salaries, then what will be the new ratio of their salaries?;03:03:10;10:11:20;0.981944444;Cannot be determined;C;Math;
A and B entered into a partnership with capitals in the ratio 4:5. After 3 months, A withdrew some capital and B withdrew some of his capital. The gain at the end of 10 months was Rs. 760. A's share in the profit is:;Rs. 330;Rs. 360;Rs. 380;Rs. 430;A;Math;
What is R's share of profit in a joint venture? I. Q started business investing Rs. 80,000. II. R joined him after 3 months. III. P joined after 4 months with a capital of Rs. 1,20,000 and got Rs. 6000 as his share profit.;All I, II, and III;I and III only;II and III only;Even with all I, II, and III, the answer cannot be arrived at;D;Math;
A alone can do a piece of work in 6 days and B alone in 8 days. A and B undertook to do it for Rs. 3200. With the help of C, they completed the work in 3 days. How much is to be paid to C?;Rs. 375;Rs. 400;Rs. 600;Rs. 800;B;Math;
A goods train runs at the speed of 72 kmph and crosses a 250 m long platform in 26 seconds. What is the length of the goods train?;230 m;240 m;260 m;270 m;D;Math;
If log10 2 = 0.3010, then log2 10 is equal to:;699;1000;0.301;0.699;B;Math;
An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area of the square is:;2%;2.02%;4%;4.04%;D;Math;
In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:;75 cu. m;750 cu. m;7500 cu. m;75000 cu. m;B;Math;
What is the volume of a cube? I. The area of each face of the cube is 64 square metres. II. The length of one side of the cube is 8 metres.;I alone sufficient while II alone not sufficient;II alone sufficient while I alone not sufficient;Either I or II alone sufficient to answer;Both I and II are not sufficient;C;Math;
The reflex angle between the hands of a clock at 10:25 is:;180º;192.5º;195º;197.5º;D;Math;
At what time between 4 and 5 o'clock will the hands of a watch point in opposite directions?;45 min past 4;40 min past 4;50.4 min past 4;54.6 min past 4;D;Math;
A 12% stock yielding 10% is quoted at:;Rs. 83.33;Rs. 110;Rs. 112;Rs. 120;D;Math;
In how many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd positions?;32;48;36;60;C;Math;
An observer 1.6 m tall is 203 m away from a tower. The angle of elevation from his eye to the top of the tower is 30º. The height of the tower is:;21.6 m;23.2 m;24.72 m;None of these;A;Math;
Find the odd one out: 1, 4, 9, 16, 23, 25, 36;9;23;25;36;B;Math;
Let N be the greatest number that will divide 1305, 4665, and 6905, leaving the same remainder in each case. The sum of the digits in N is:;4;5;6;8;A;Math;
